id;name;description;id_type;goal_amount;collected;rating;creation_date;last_updated;coord_x;coord_y;fee
1;Generic complexity;payment feed;PROFITABLE;71929;78544;40650;2020-11-01T07:44:42;2020-11-01T22:28:07;62452;23613;55777
2;Route;Frozen;NONPROFIT;23468;29637;3777;2020-11-01T15:59:31;2020-11-01T14:40:03;2739;83917;77767
3;EXE Throughway;leverage;NONPROFIT;92907;44639;5746;2020-11-02T04:35:49;2020-11-01T08:19:18;78826;25729;55877
4;array portal Pizza;Ergonomic Enterprise-wide;PROFITABLE;65048;97929;19596;2020-11-01T10:19:56;2020-11-01T19:01:16;10080;23057;60861
5;connect Tools;withdrawal;PROFITABLE;59980;1841;23903;2020-11-02T03:29:02;2020-11-01T10:07:07;13591;55825;25916
6;quantify;Computer;NONPROFIT;69229;21368;38102;2020-11-01T11:06:30;2020-11-02T01:52:02;95155;39397;12988
7;Jewelery infrastructures;Avon Mississippi;PROFITABLE;88045;73835;88186;2020-11-01T14:59:09;2020-11-01T23:43:47;65991;87405;22074
8;matrix Bedfordshire;invoice Savings Account;NONPROFIT;76087;38674;55859;2020-11-01T20:35:49;2020-11-01T23:44:00;50775;47936;80939
9;Metal Applications;Strategist circuit instruction set;PROFITABLE;8227;97101;68581;2020-11-01T13:15:21;2020-11-01T20:47:10;7383;70317;66753
10;drive;Ergonomic Granite Pants Morocco;PROFITABLE;90614;84557;33191;2020-11-01T06:33:24;2020-11-01T10:58:34;99848;88322;12027
